"account_status","loan_duration_mths","credit_history","loan_purpose","credit_amount","savings","employment_duration","installment_rate","marital_status","other_debtors","residence_since","property","age_yrs","other_installment_plans","housing","existing_credits","occupation","people_liable","telephone","foreign_worker","target","target_bad"
"0 to < 200 DM",18,"Existing credits paid back duly till now","Business",1913,">= 1000 DM","< 1 year","20% to < 25%","Male married/widowed","None","4 to < 7 years","Real estate",36,"Bank","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"< 0 DM",24,"Existing credits paid back duly till now","Furniture / equipment",4020,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Car or other property",27,"Stores","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",18,"Existing credits paid back duly till now","Car (new)",5866,"100 to < 500 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Car or other property",30,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Critical account / other credits existing","Business",1264,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",57,"None","Rent","1","Unskilled resident","0 to 2","None","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",12,"Existing credits paid back duly till now","Furniture / equipment",1474,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None","< 1 year","Building society savings / life insurance",33,"Bank","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",45,"Critical account / other credits existing","Radio / television",4746,"< 100 DM","< 1 year","< 20%","Male single","None","1 to < 4 years","Building society savings / life insurance",25,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Bad",1
"No checking account",48,"Critical account / other credits existing","Education",6110,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Male single","None","4 to < 7 years","Unknown / no property",31,"Bank","For free","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",18,"Existing credits paid back duly till now","Radio / television",2100,"< 100 DM","1 to < 4 years","< 20%","Male single","Co-applicant","1 to < 4 years","Real estate",37,"Stores","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
">= 200 DM / salary assignments for at least 1 year",10,"Existing credits paid back duly till now","Domestic appliances",1225,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Car or other property",37,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",9,"Existing credits paid back duly till now","Radio / television",458,"< 100 DM","1 to < 4 years","< 20%","Male single","None","4 to < 7 years","Real estate",24,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",30,"Existing credits paid back duly till now","Radio / television",2333,"500 to < 1000 DM",">= 7 years","< 20%","Male single","None","1 to < 4 years","Car or other property",30,"Bank","Own","1","Manager / self-employed / highly qualified","0 to 2","None","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Radio / television",1158,"500 to < 1000 DM","1 to < 4 years","20% to < 25%","Male divorced/separated","None","< 1 year","Car or other property",26,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",18,"Delay in paying off in the past","Repairs",6204,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None",">= 7 years","Real estate",44,"None","Own","1","Unskilled resident","3 or more","Yes","Yes","Good",0
"< 0 DM",30,"Critical account / other credits existing","Car (used)",6187,"100 to < 500 DM","4 to < 7 years",">= 35% of disposable income","Male married/widowed","None",">= 7 years","Car or other property",24,"None","Rent","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",48,"Critical account / other credits existing","Car (used)",6143,"< 100 DM",">= 7 years","< 20%","Female divorced/separated/married","None",">= 7 years","Unknown / no property",58,"Stores","For free","2 to 3","Unskilled resident","0 to 2","None","Yes","Bad",1
"No checking account",11,"Critical account / other credits existing","Car (new)",1393,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None",">= 7 years","Car or other property",35,"None","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","None","Yes","Good",0
"No checking account",36,"Existing credits paid back duly till now","Radio / television",2299,"500 to < 1000 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Car or other property",39,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",6,"Existing credits paid back duly till now","Car (used)",1352,"500 to < 1000 DM","Unemployed",">= 35% of disposable income","Female divorced/separated/married","None","1 to < 4 years","Building society savings / life insurance",23,"None","Rent","1","Unemployed / unskilled non-resident","0 to 2","Yes","Yes","Good",0
"No checking account",11,"Critical account / other credits existing","Car (new)",7228,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Male single","None",">= 7 years","Building society savings / life insurance",39,"None","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",12,"Existing credits paid back duly till now","Radio / television",2073,"100 to < 500 DM","1 to < 4 years","< 20%","Female divorced/separated/married","Co-applicant","1 to < 4 years","Real estate",28,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",24,"Delay in paying off in the past","Furniture / equipment",2333,"Unknown / no savings account","< 1 year","< 20%","Male single","None","1 to < 4 years","Building society savings / life insurance",29,"Bank","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",27,"Delay in paying off in the past","Car (used)",5965,"< 100 DM",">= 7 years",">= 35% of disposable income","Male single","None","1 to < 4 years","Car or other property",30,"None","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Existing credits paid back duly till now","Radio / television",1262,"< 100 DM","1 to < 4 years","20% to < 25%","Male single","None","1 to < 4 years","Car or other property",25,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",18,"Existing credits paid back duly till now","Car (used)",3378,"Unknown / no savings account","1 to < 4 years","25% to < 35%","Male single","None","< 1 year","Building society savings / life insurance",31,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",36,"Delay in paying off in the past","Car (new)",2225,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",57,"Bank","For free","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",6,"All credits at this bank paid back duly","Car (new)",783,"Unknown / no savings account","1 to < 4 years",">= 35% of disposable income","Male single","Guarantor","1 to < 4 years","Real estate",26,"Stores","Own","1","Unskilled resident","3 or more","None","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Radio / television",6468,"Unknown / no savings account","Unemployed","25% to < 35%","Male single","None","< 1 year","Unknown / no property",52,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"No checking account",36,"Critical account / other credits existing","Radio / television",9566,"< 100 DM","1 to < 4 years","25% to < 35%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",31,"Stores","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",18,"Existing credits paid back duly till now","Car (new)",1961,"< 100 DM",">= 7 years","20% to < 25%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",23,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","None","Yes","Good",0
"< 0 DM",36,"Critical account / other credits existing","Furniture / equipment",6229,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","Co-applicant",">= 7 years","Unknown / no property",23,"None","Rent","2 to 3","Unskilled resident","0 to 2","Yes","Yes","Bad",1
"0 to < 200 DM",9,"Existing credits paid back duly till now","Business",1391,"< 100 DM","1 to < 4 years","25% to < 35%","Male married/widowed","None","< 1 year","Real estate",27,"Bank","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",15,"Critical account / other credits existing","Radio / television",1537,"Unknown / no savings account",">= 7 years","< 20%","Male single","Guarantor",">= 7 years","Real estate",50,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",36,"No credits taken / all credits paid back duly","Business",1953,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",61,"None","For free","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"0 to < 200 DM",48,"No credits taken / all credits paid back duly","Business",14421,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Car or other property",25,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",24,"Existing credits paid back duly till now","Radio / television",3181,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",26,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",27,"Existing credits paid back duly till now","Repairs",5190,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Building society savings / life insurance",48,"None","Own",">= 6","Skilled employee / official","3 or more","Yes","Yes","Good",0
"No checking account",12,"Existing credits paid back duly till now","Radio / television",2171,"< 100 DM","< 1 year","25% to < 35%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",29,"Bank","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Car (new)",1007,">= 1000 DM","1 to < 4 years","< 20%","Male married/widowed","None","< 1 year","Real estate",22,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",36,"Existing credits paid back duly till now","Education",1819,"< 100 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Unknown / no property",37,"Stores","For free","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",36,"Existing credits paid back duly till now","Radio / television",2394,"Unknown / no savings account","1 to < 4 years","< 20%","Female divorced/separated/married","None",">= 7 years","Car or other property",25,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",36,"Existing credits paid back duly till now","Car (used)",8133,"< 100 DM","1 to < 4 years",">= 35% of disposable income","Female divorced/separated/married","None","1 to < 4 years","Building society savings / life insurance",30,"Bank","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",7,"Critical account / other credits existing","Radio / television",730,"Unknown / no savings account",">= 7 years","< 20%","Male single","None","1 to < 4 years","Building society savings / life insurance",46,"None","Rent","2 to 3","Unskilled resident","0 to 2","Yes","Yes","Good",0
"< 0 DM",8,"Critical account / other credits existing","Others",1164,"< 100 DM",">= 7 years","20% to < 25%","Male single","None",">= 7 years","Unknown / no property",51,"Bank","For free","2 to 3","Manager / self-employed / highly qualified","3 or more","Yes","Yes","Good",0
"0 to < 200 DM",42,"Critical account / other credits existing","Business",5954,"< 100 DM","4 to < 7 years","25% to < 35%","Female divorced/separated/married","None","< 1 year","Real estate",41,"Bank","Own","2 to 3","Unskilled resident","0 to 2","None","Yes","Good",0
"< 0 DM",36,"Existing credits paid back duly till now","Education",1977,"Unknown / no savings account",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",40,"None","Own","1","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Bad",1
"< 0 DM",12,"Critical account / other credits existing","Car (used)",1526,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Unknown / no property",66,"None","For free","2 to 3","Manager / self-employed / highly qualified","0 to 2","None","Yes","Good",0
"< 0 DM",42,"Existing credits paid back duly till now","Radio / television",3965,"< 100 DM","< 1 year","< 20%","Male single","None","4 to < 7 years","Car or other property",34,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Bad",1
"0 to < 200 DM",11,"Delay in paying off in the past","Radio / television",4771,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","None",">= 7 years","Building society savings / life insurance",51,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",54,"No credits taken / all credits paid back duly","Car (used)",9436,"Unknown / no savings account","1 to < 4 years","25% to < 35%","Male single","None","1 to < 4 years","Building society savings / life insurance",39,"None","Own","1","Unskilled resident","3 or more","None","Yes","Good",0
"0 to < 200 DM",30,"Existing credits paid back duly till now","Furniture / equipment",3832,"< 100 DM","< 1 year","25% to < 35%","Male married/widowed","None","< 1 year","Building society savings / life insurance",22,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Radio / television",5943,"Unknown / no savings account","< 1 year",">= 35% of disposable income","Female divorced/separated/married","None","< 1 year","Car or other property",44,"None","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",15,"Existing credits paid back duly till now","Radio / television",1213,"500 to < 1000 DM",">= 7 years","< 20%","Male single","None","4 to < 7 years","Building society savings / life insurance",47,"Stores","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",18,"Existing credits paid back duly till now","Business",1568,"100 to < 500 DM","1 to < 4 years","20% to < 25%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",24,"None","Rent","1","Unskilled resident","0 to 2","None","Yes","Good",0
"< 0 DM",24,"Existing credits paid back duly till now","Others",1755,"< 100 DM",">= 7 years","< 20%","Female divorced/separated/married","Guarantor",">= 7 years","Real estate",58,"None","Own","1","Unskilled resident","0 to 2","Yes","Yes","Good",0
"< 0 DM",10,"Existing credits paid back duly till now","Radio / television",2315,"< 100 DM",">= 7 years","20% to < 25%","Male single","None",">= 7 years","Real estate",52,"None","Own","1","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",12,"Critical account / other credits existing","Business",1412,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","Guarantor","1 to < 4 years","Real estate",29,"None","Own","2 to 3","Manager / self-employed / highly qualified","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",18,"Critical account / other credits existing","Furniture / equipment",1295,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None","< 1 year","Building society savings / life insurance",27,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",36,"Existing credits paid back duly till now","Education",12612,"100 to < 500 DM","1 to < 4 years",">= 35% of disposable income","Male single","None",">= 7 years","Unknown / no property",47,"None","For free","1","Skilled employee / official","3 or more","Yes","Yes","Bad",1
"< 0 DM",18,"Existing credits paid back duly till now","Car (new)",2249,"100 to < 500 DM","4 to < 7 years","< 20%","Male single","None","4 to < 7 years","Car or other property",30,"None","Own","1","Manager / self-employed / highly qualified","3 or more","Yes","Yes","Good",0
"< 0 DM",12,"No credits taken / all credits paid back duly","Repairs",1108,"< 100 DM","4 to < 7 years","< 20%","Male single","None","4 to < 7 years","Real estate",28,"None","Own","2 to 3","Skilled employee / official","0 to 2","None","Yes","Bad",1
"No checking account",12,"Critical account / other credits existing","Radio / television",618,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Real estate",56,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",12,"Critical account / other credits existing","Car (used)",1409,"< 100 DM",">= 7 years","< 20%","Male single","None","4 to < 7 years","Real estate",54,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",12,"Critical account / other credits existing","Radio / television",797,"Unknown / no savings account",">= 7 years","< 20%","Female divorced/separated/married","None","4 to < 7 years","Building society savings / life insurance",33,"Bank","Own","1","Unskilled resident","3 or more","None","Yes","Bad",1
">= 200 DM / salary assignments for at least 1 year",24,"Critical account / other credits existing","Furniture / equipment",3617,"Unknown / no savings account",">= 7 years","< 20%","Male single","Co-applicant",">= 7 years","Unknown / no property",20,"None","Rent","2 to 3","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",12,"Existing credits paid back duly till now","Car (new)",1318,">= 1000 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Real estate",54,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",54,"No credits taken / all credits paid back duly","Business",15945,"< 100 DM","< 1 year","20% to < 25%","Male single","None",">= 7 years","Unknown / no property",58,"None","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
"No checking account",12,"Critical account / other credits existing","Education",2012,"Unknown / no savings account","4 to < 7 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Car or other property",61,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",18,"Existing credits paid back duly till now","Business",2622,"100 to < 500 DM","1 to < 4 years","< 20%","Male single","None",">= 7 years","Car or other property",34,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",36,"Critical account / other credits existing","Radio / television",2337,"< 100 DM",">= 7 years","< 20%","Male single","None",">= 7 years","Real estate",36,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",20,"Delay in paying off in the past","Car (used)",7057,"Unknown / no savings account","4 to < 7 years","20% to < 25%","Male single","None",">= 7 years","Building society savings / life insurance",36,"Bank","Rent","2 to 3","Manager / self-employed / highly qualified","3 or more","Yes","Yes","Good",0
"No checking account",24,"Existing credits paid back duly till now","Car (new)",1469,"100 to < 500 DM",">= 7 years","< 20%","Male married/widowed","None",">= 7 years","Real estate",41,"None","Rent","1","Unskilled resident","0 to 2","None","Yes","Good",0
"0 to < 200 DM",36,"Existing credits paid back duly till now","Radio / television",2323,"< 100 DM","4 to < 7 years","< 20%","Male single","None",">= 7 years","Car or other property",24,"None","Rent","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"No checking account",6,"Delay in paying off in the past","Radio / television",932,"< 100 DM","1 to < 4 years","20% to < 25%","Female divorced/separated/married","None","1 to < 4 years","Real estate",24,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"0 to < 200 DM",9,"Critical account / other credits existing","Furniture / equipment",1919,"< 100 DM","4 to < 7 years","< 20%","Male single","None","4 to < 7 years","Car or other property",35,"None","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"No checking account",12,"Existing credits paid back duly till now","Car (used)",2445,"Unknown / no savings account","< 1 year","25% to < 35%","Male married/widowed","None",">= 7 years","Car or other property",26,"None","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",24,"Critical account / other credits existing","Others",11938,"< 100 DM","1 to < 4 years","25% to < 35%","Male single","Co-applicant","4 to < 7 years","Car or other property",39,"None","Own","2 to 3","Manager / self-employed / highly qualified","3 or more","Yes","Yes","Bad",1
"No checking account",18,"All credits at this bank paid back duly","Car (new)",6458,"< 100 DM",">= 7 years","25% to < 35%","Male single","None",">= 7 years","Unknown / no property",39,"Bank","Own","2 to 3","Manager / self-employed / highly qualified","3 or more","Yes","Yes","Bad",1
"0 to < 200 DM",12,"Existing credits paid back duly till now","Car (new)",6078,"< 100 DM","4 to < 7 years","25% to < 35%","Male single","None","1 to < 4 years","Car or other property",32,"None","Own","1","Skilled employee / official","0 to 2","None","Yes","Good",0
"< 0 DM",24,"Existing credits paid back duly till now","Furniture / equipment",7721,"Unknown / no savings account","< 1 year",">= 35% of disposable income","Female divorced/separated/married","None","1 to < 4 years","Building society savings / life insurance",30,"None","Own","1","Skilled employee / official","0 to 2","Yes","No","Good",0
"0 to < 200 DM",14,"Existing credits paid back duly till now","Business",1410,"500 to < 1000 DM",">= 7 years",">= 35% of disposable income","Male married/widowed","None","1 to < 4 years","Real estate",35,"None","Own","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",6,"Delay in paying off in the past","Business",1449,"100 to < 500 DM",">= 7 years",">= 35% of disposable income","Male divorced/separated","None","1 to < 4 years","Car or other property",31,"Bank","Own","2 to 3","Skilled employee / official","3 or more","None","Yes","Good",0
">= 200 DM / salary assignments for at least 1 year",15,"Existing credits paid back duly till now","Education",392,"< 100 DM","< 1 year","< 20%","Female divorced/separated/married","None",">= 7 years","Building society savings / life insurance",23,"None","Rent","1","Skilled employee / official","0 to 2","Yes","Yes","Good",0
"0 to < 200 DM",18,"Existing credits paid back duly till now","Car (new)",6260,"< 100 DM","4 to < 7 years","20% to < 25%","Male single","None","4 to < 7 years","Real estate",28,"None","Rent","1","Unskilled resident","0 to 2","None","Yes","Good",0
"No checking account",36,"Critical account / other credits existing","Car (new)",7855,"< 100 DM","1 to < 4 years","< 20%","Female divorced/separated/married","None","1 to < 4 years","Real estate",25,"Stores","Own","2 to 3","Skilled employee / official","0 to 2","Yes","Yes","Bad",1
